,,,,,,,,,,,,,,,,,
Session (week),Month,Module,Concat Week Name,Topic,Concat Session Name,Sub-Module,Learning Goals,Prepared by,Session Type,Format,Preparation Status,Duration,Instructor Name,"Deck Link
(Master Folder)",Pre/Post Test Link(Master Folder),Progress Notes,Deck Feedback
"Week 1: Future of Work, Adaptability & Resilience",,,,,,,,,,,,,,,,,
Week 1 (Kick Off),1st,Inauguration Session,Week 1 (Kick Off) - Inauguration Session,"Kick-Off, Talkshow & Networking – The Future with Data & AI","Week 1 (Kick Off) - Kick-Off, Talkshow & Networking – The Future with Data & AI","1. Program Onboarding
2. Panel discussion: How industries apply AI & data
3. Career skills of the future: adaptability, analytics, digital literacy
4. Success stories of career transitions into data/AI
5. What solutions can be built with AI?
6. Networking with peers","• Understand program rules & regulation
• Gain exposure to real-world applications of AI in multiple industries.
• Identify future-ready skills that matter for careers in the digital economy.
• Learn from practitioners’ experiences and stories.
• Engage with peers",Binus +  RevoU,Talkshow,Hybrid,On Progress,1 sessions (@180 mins),,,,,
Week 1,1st,"Future of Work, Adaptability & Resilience","Week 1 - Future of Work, Adaptability & Resilience","Future of Work Trends
( Digital Innovation
ISYS6897003 )","Week 1 - Future of Work Trends
( Digital Innovation
ISYS6897003 )","1. Digital Transformation & Innovation
2. Future of Work Trends: Impact of AI on industries & roles
3. Adaptability & Resilience Skills
4. Business cases: retail personalization, supply chain optimization, marketing automation.
5. Business Intelligence (BI) vs Artificial Intelligence (AI) – simple contrast","• Understand how digital transformation and AI are reshaping industries and job roles.
• Identify emerging skills required in the future workplace.
• How companies use analytics + AI for decision-making.
 -Reflect on how technology shifts impact personal career paths.",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Dewa Ayu Defina Audrey,https://docs.google.com/presentation/d/1EeYc4uhKt9smwOXDsk8k-AUhJzvU23uXsF7JgmdDq_A/edit?slide=id.g3a2ee23b7c4_0_8#slide=id.g3a2ee23b7c4_0_8,https://docs.google.com/document/d/1Jdlvo4TRgzZkTyhxIQFS9N2QH7-U4ZDZnTY0RAmk5tg/edit?usp=drive_link,"6 FEBRUARI
Progress:

Problem:

Plan:","Completeness Check
- Deck: No progress yet
- Pre/Post Tests: No progress yet
- Not yet submit photo and biodata

Feedback
- x"
Week 1,1st,"Future of Work, Adaptability & Resilience","Week 1 - Future of Work, Adaptability & Resilience",Data & AI Fundamentals and How to have Tech Talent Mindset,Week 1 - Data & AI Fundamentals and How to have Tech Talent Mindset,"1. What is data? (structured vs unstructured)
2. Where data comes from in business processes
3. What AI can and cannot do
4. Everyday AI use cases: recommendation systems, chatbots, summarization
5. Individual ideation: each student drafts 3–5 problem ideas ","• Define data in simple, practical terms and differentiate its types.
• Identify how data is generated and used in everyday business.
• Explain basic AI concepts and limitations in plain language.
• Experience AI-assisted data analysis through a practical demo.",RevoU,Lecture,Online,On Progress,1 sessions (@ 120mins),Gabriel Handowo,https://docs.google.com/presentation/d/1waOWeVYV04zP3HUxQB9qQ32I3o9Nfb15KGsuORtRwu0/edit?slide=id.g33a00c70957_1_1000#slide=id.g33a00c70957_1_1000,https://docs.google.com/document/d/1n-pLhj3hXUQPV6yglSIeW4SLz3ebHFMOsmlCvHaJkO0/edit?usp=drive_link,,
Week 2: Business Analytics & Problem Solving,,,,,,,,,,,,,,,,,
Week 2,1st,Business Analytics & Problem Solving,Week 2 - Business Analytics & Problem Solving,"Business Analytics Fundamental
ISYS6908003","Week 2 - Business Analytics Fundamental
ISYS6908003","1. What is Business Analytics?
2. Types of Analytics (descriptive, diagnostic, predictive, prescriptive)
3. Business use cases (marketing, operations, finance, HR)
4. Example walkthrough: sales performance dashboard","• Define business analytics in simple, practical terms.
• Differentiate between the four types of analytics.
• Identify common business functions where analytics is applied.
• Understand how analytics connects to decision-making in real scenarios.",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Muhammad Alfhi Saputra,https://docs.google.com/presentation/d/1hTHonobC__f0v67CSVwUy50CNcNjR1nQHG_0OpHuJ2g/edit?slide=id.g3a2ee23b7c4_0_8#slide=id.g3a2ee23b7c4_0_8,https://docs.google.com/document/d/1kPmDCOxBa0HPHHrC57DFThl27en81DL4FY4_tIQk-SI/edit?usp=drive_link,"6 FEBRUARI
Progress: Done

Problem:

Plan:","Completeness Check
- Deck ⏳
✅ intro slide include professional contact & sufficient expertise
✅ use cases
✅ references
- Pre/Post Tests ✔️
- Photo & Biodata ✔️


Feedback
- Rapihin table of contents: masih ada yg slide Topic, tp sepertinya ngikutin struktur Part 1-4
- add 1 more Q&A session in the early part
- Could add more engagement session
- Diberikan contoh gambaran case study related ke function / business use case. Contohnya, problem di finance seperti apa yang bisa disolve dengan analytics."
Week 2  ,1st,Business Analytics & Problem Solving,Week 2   - Business Analytics & Problem Solving,Problem-Solving Frameworks for Analytics,Week 2   - Problem-Solving Frameworks for Analytics,"1. Why problem framing matters in analytics & how to break down problems
2. Frameworks: 5 Whys, Root Cause Analysis, Hypothesis-driven thinking
3. Translating business objectives into measurable metrics","• Apply structured frameworks to break down business problems.
• Translate open-ended challenges into data-driven questions.
• Link problems to relevant metrics and possible data sources.
• Build confidence in framing problems before jumping to data.",RevoU,Lecture,Online,On Progress,1 sessions (@ 120mins),Gabriel Handowo,https://docs.google.com/presentation/d/1uL0vKX1hIhiXFCd4ousHtbNVpiu54jYvtzKw4JdQk3A/edit?slide=id.g3a40d0742f7_0_7179#slide=id.g3a40d0742f7_0_7179,https://docs.google.com/document/d/1A4eyNPnSWC001W6EbgI8J17xKipJ6pmpcTnHEgRrdss/edit?usp=drive_link,,"Overall slidesnya komprehensif, perlu dipersingkat lagi mungkin beberapa hal karena waktunya terbatas :) mungkin tetap fokus pada penyampaian untuk framework berpikir melihat sebuah masalah → coba diseleksi → lalu ini nanti yang akan mereka solve dengan solusi, jadi part prioritization sebetulnya jadi part yang sangat penting, jangan sampai karena ada di akhir jadi buru2."
Week 2  ,1st,Business Analytics & Problem Solving,Week 2   - Business Analytics & Problem Solving,Problem Breakdown & Capstone Ideation,Week 2   - Problem Breakdown & Capstone Ideation,"1. Recap Week 1 ideas: What problem could AI/data solve?
2. Guided activity: refine the idea into a business problem statement
3. Group exercise: map metrics and possible data sources for chosen problem
4. Capstone discussion: share refined problem statements","• Practice framing a real-world problem into a clear problem statement.
• Identify potential metrics and datasets for analysis.
• Collaborate in groups to compare and refine problem ideas.
• Document Capstone Step 1: Problem Statement.

Capstone outcome: 
1.  A clear business problem statement.
2. A first draft of metrics and possible data sources.
This sets up Week 3 (Data Foundations & EDA), where they’ll actually collect/prepare the dataset.",RevoU,Simulation + Capstone,Online,Not Started,1 sessions (@ 120mins),,,,,
Week 3:  Data Foundations & Exploratory Analysis (EDA),,,,,,,,,,,,,,,,,
Week 3,1st,Data Foundations & Exploratory Analysis (EDA),Week 3 - Data Foundations & Exploratory Analysis (EDA),"Data Fundamental 

(Database Fundamental
ISYS6892003)","Week 3 - Data Fundamental 

(Database Fundamental
ISYS6892003)","1. What is data and database (structured vs unstructured, examples)
2. Where data comes from in business (transactional, operational, customer, external sources)
3. Data quality basics (completeness, accuracy, consistency)
4. Introduction to data cleaning (missing values, duplicates, standardization)","• Define structured vs unstructured data with real examples.
• Recognize the main sources of business data.
• Understand why data quality matters for analytics.
 • Explain basic steps of preparing data for analysis.",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Rilo Chandra Pradana,https://docs.google.com/presentation/d/1MxTXGMP6IA7xLa4_TC4s5DwZTxE7CPKRpHvO6hQLrD4/edit?slide=id.g3a2ee23b7c4_0_8#slide=id.g3a2ee23b7c4_0_8,https://docs.google.com/document/d/1cyE0pgkcmWI7Q5Am3WxVa8zW0Ko_WOg_tI5EjHKYFf0/edit?usp=drive_link,"6 FEBRUARI
Progress: Done

Problem:

Plan:","Completeness Check
- Deck ⏳
✅ use cases and engagement per topic
- Pre/Post Tests✔️
- Not yet submit biodata

Feedback
- intro slide belum include contact and research lists
- need to confirm activity wise yg ada di deck apakah butuh somekind of worksheet template yg bisa dipake student handson sekalian? or how does it look like?
- Referencesnya masih bullet points of links, what is the benchmark?

Overall secara deck sudah komprehensif, lebih dikerucutkan lagi saja penjelasannya bahwa ini nanti penting terutama kalau kita akan menggunakan AI - karena AI akan membaca data jika databasenya rapih maka halusinasinya akan berkurang. Sepertinya perlu ditambahkan lagi fokus mengenai data cleaning"
